PANEL_TYPE,url,USB,SKU,WEIGHT_WITH_STAND,OTHER_FEATURES,SPEAKER_TYPE,ADDITIONAL_FEATURES,MODEL_NAME,REFRESH_RATE,POWER_CONSUMPTION_(STAND-BY),PC_AUDIO_IN_(MINI_JACK),PC_AUDIO_OUT_(MINI_JACK),SIZE_WITH_STAND_(W_X_H_X_D),SIZE_WITHOUT_STAND_(W_X_H_X_D),SCREEN_TYPE,SCREEN_SIZE,SERIES,HD_TECHNOLOGY_&_RESOLUTION,SPEAKER_POWER_OUTPUT_(RMS),SOUND_TECHNOLOGY,SPEAKERS,SMART_TV,POWER_SUPPLY,3D,COMPONENT_VIDEO_INPUT,CURVE_TV,COMPOSITE_VIDEO_INPUT,PICTURE_ENGINE,HDMI,WEIGHT_WITHOUT_STAND,POWER_CONSUMPTION_(MAX),BRAND,price
-,https://www.vijaysales.com/Haier-LE55B9500U-55-139-cm-Ultra-HD-LED-TV/5586,1,LE55B9500U,-,"RF Connectivity Input , Analog Audio Input, Headphone Output",-,"Sleep Timer, USB Photo Viewer, USB Music PlayerUSB Video Player",LE55B9500U,-,0.5 Watts,-,-,1365 X 815 X 185,1240 X 768.4 X 246,LED,55 (139 cm),-,Ultra HD & 3840 X 2160,2 X 10 Watts,-,2,No,AC 100-240V ~ 50-60Hz,No,1,No,1,-,4,-,150 Watts,HAIER,"43,990"
IPS 4K Panel,https://www.vijaysales.com/LG-55UJ632T-55-139cm-Ultra-HD-Smart-LED-TV/5794,"Yes, Terminal Side x 1",55UJ632T,14.3 Kg,"Terminal Rear: RF In, Digital Audio Out (Optical), Headphone Out, LAN, HDMI, USB",-,"LG Smart TV: webOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes (4 Modes (Universal Control,Point,Wheel,Voice)), Direct Keys (Apps)-Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice recognition - Language-US English, Voice recognition - Usage In-Search / Web browsing / SNS, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World-Yes(In LG Store), Magic Zoom-Live + Focus Zoom, 360 VR, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music PlayerSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine(Ready), External HDD Recording Support, Scheduled Recording, Watch & Record -(Items recordable when using smart functions)USB: DivX HD, Picture (JPEG,JPS,MPO), External Device App Download , Audio Codec-AC3(Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, Subtitle for DivX (Language)-15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special: White Sensor, Smart Energy Saving, OSD Language-Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularly, Simplink (HDMI CEC)Local Key Type: Joystick",55UJ632T,-,0.3 W,-,-,1249 mm x 785 mm x 235 mm,1249 mm x 730 mm x 83.4 min: (74.3 ),LED,55 (139cm),-,Ultra HD 3840 x 2160,20 W,Dolby Digital Decoder & DTS Decoder,2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,Yes,No,Yes,True 4K Engine,"Yes, Terminal Side x 2",14.2 Kg,-,LG,"89,990"
-,https://www.vijaysales.com/Haier-LE32B9000M-32-80cm-HD-Ready-LED-TV/5806,2,LE32B9000M,5.23 Kg,"Headphone Out, Other Connections-3D Comb Filter,sound mode settings",-,Convenience Features: Video Playback Formats-multiple formatsAudio Playback Formats-AVL(Auto Volume Leveler)Picture Playback Formats-Multiple Formats,LE32B9000M,-,-,-,-,799 mm x 510 mm x 146 mm,727 mm x 425.5 mm x 85 mm,LED,32 (80 cm),-,HD Ready & 1366 x 768 Pixels,16 W,Digital,2,No,230,No,Yes,No,Yes,-,2,3.51 Kg,60,HAIER,"15,990"
LCD,https://www.vijaysales.com/Sony-KLV43W772E-43-108cm-Full-HD-Smart-LED-TV/5834,2 (Side/Stacking),KLV43W772E,Approx. 10.2 kg,"Audio/Headphone Output(s), HDMI Audio Return Channel (ARC), HDMI-CEC, RF, Wi-Fi Standard, Ethernet inputsSmartphone connectivity: Photo Sharing Plus, Screen mirroring (Miracast™)USB drive format support: FAT16/FAT32/NTFSUSB playback codecs: MPEG1/MPEG2PS/MPEG2TS/AVCHD/MP4Part10/MP4Part2/AVI(XVID)/AVI(MotionJpeg)/WMV9/MKV/WEBM/WAV/MP3/WMA/JPEG",Front: Open Baffle SpeakerSubWoofer: Bass Reflex Speaker,"Backlight type: Edge LEDBacklight dimming type: Frame DimmingSoftware:Operating System: LinuxDisplay Language: AFRIKAANS/ARABIC/ASSAMESE/BENGALI/ENGLISH/PERSIAN/FRENCH/GUJARATI/HINDI/INDONESIAN/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/PORTUGUESE/RUSSIAN/SWAHILI/TAMIL/TELUGU/THAI/TURKISH/VIETNAMESE/SIMPLIFIED CHINESE/ZULUText Input Language: ENGLISHInternet Browser: OperaApplication Store: Yes (Opera Store)On/Off Timer, Sleep Timer, TeletextClosed Captions (Analog/Digital)Power Saving Mode / Back Light Off Mode, Dynamic Backlight ControlDesign: Black Frame colour, Silver U Slate StandBuilt-in Tuner: 1(Analogue), TV System (Analogue)-B/G, D/K, I, M, Tuner Channel Coverage (Analogue)-45.25 Mhz–863.25 MHz (Depends on country/area selection)",KLV43W772E,Motionflow™ XR 200 (Native 50 Hz),0.50 W,-,-,Approx. 964x619x236 mm,Approx. 964x571x70 mm,LED,43 (108cm),-,Full HD & 1920 x 1080,8W+8W+14W,"Dolby® Digital, Dolby® Digital Plus, Dolby® Pulse",-,Yes,"AC 100–240 V, 50/60 Hz DC 19.5 V",No,-,No,1,-,2 (2Side),Approx. 9.6 kg,93 W,SONY,"54,990"
"LCD, Edge LED Backlight type",https://www.vijaysales.com/Sony-KD55X7002E-55-139cm-Ultra-HD-Smart-LED-TV/5835,3 (Side),KD55X7002E,Approx. 18.6 kg,"Wi-Fi Standard: Wi-Fi® Certified 802.11b/g/nEthernet inputs: 1 (Bottom)Smartphone connectivity: Photo Sharing Plus, Screen mirroring (Miracast™)RF x 1HDCP: HDCP 2.2 (for HDMI™1/2/3)HDMI-CEC: YesHDMI Audio Return Channel (ARC): YesDigital Audio Output(s): 1 (Bottom)Audio/Headphone Output(s): 1 (Rear)USB drive format support: FAT16/FAT32/NTFSUSB playback codecs: MPEG1/MPEG2PS/MPEG2TS/AVCHD/MP4Part10/MP4Part2/AVI(XVID)/AVI(MotionJpeg)/WMV9/MKV/WEBM/WAV/MP3/WMA/JPEG",Bass Reflex Speaker,"SoftwareOperating System: LinuxOn-board Storage (GB): 4 GBDisplay Language: AFRIKAANS/ARABIC/ASSAMESE/BENGALI/ENGLISH/PERSIAN/FRENCH/GUJARATI/HINDI/INDONESIAN/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/PORTUGUESE/RUSSIAN/SWAHILI/TAMIL/TELUGU/THAI/TURKISH/VIETNAMESE/SIMPLIFIED CHINESE/ZULUText Input Language: ENGLISHInternet Browser: OperaApplication Store: Yes (Opera Store)On/Off Timer, Sleep Timer, Teletext",KD55X7002E,Motionflow™ XR 200 (Native 50 Hz),0.50 W,-,-,Approx. 1238 x 775 x 252 mm,Approx. 1238 x 722 x 58 mm,LED,55 (139cm),-,Ultra HD & 3840 x 2160,10 W+10 W,"Dolby® Digital, Dolby® Digital Plus, Dolby® Pulse",,Yes,50/60 Hz AC 110-240 V,No,-,No,1 (Bottom),4K X-Reality PRO,3 (2 Side/1 Rear),Approx. 17.7 kg,136 W,SONY,"89,990"
IPS 4K Panel,https://www.vijaysales.com/LG-49UJ632T-49-123cm-Ultra-HD-Smart-LED-TV/5873,"Yes, Terminal Side x 1",49UJ632T,11.4 Kg,"Terminal Rear: RF In, Digital Audio Out (Optical), Headphone Out, LAN, HDMI, USB",-,"LG Smart TV: webOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes (4 Modes (Universal Control,Point,Wheel,Voice)), Direct Keys (Apps)-Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice recognition - Language-US English, Voice recognition - Usage In-Search / Web browsing / SNS, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World-Yes(In LG Store), Magic Zoom-Live + Focus Zoom, 360 VR, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music Player, Multi ViewSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine(Ready), External HDD Recording Support, Scheduled Recording, Watch & Record -(Items recordable when using smart functions)USB: DivX HD, Picture (JPEG,JPS,MPO), External Device App Download , Audio Codec-AC3(Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, Subtitle for DivX (Language)-15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special: White Sensor, Smart Energy Saving, OSD Language-Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularly, Simplink (HDMI CEC)Local Key Type: Joystick",49UJ632T,-,0.3 W,-,-,1110 mm x 705 mm x 235 mm,1110 mm x 650 mm x 81.1 mm min: (72 ),LED,49 (123cm),-,Ultra HD 3840 x 2160,20 W,Dolby Digital Decoder & DTS Decoder,2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,Yes,No,Yes,True 4K Engine,"Yes, Terminal Side x 2",11.3Kg,-,LG,"77,990"
IPS,https://www.vijaysales.com/LG-43LJ617T-43-108cm-Full-HD-Smart-LED-Tv/5874,2,43LJ617T,9.3 Kg,"RF Connectivity Input : 1, Digital Audio Out (Optical): 1, Headphone Out: 1, LAN: 1",-,"BackLight Module : Slim LEDAnalog TV ReceptionSubtitle For DivX (Language) : 20 Language (Arabic,Cantonese,English,French,German,Hebrew,Hindi,Italian,Japanese, Korean, Mandarin, Maori, Persian,Russian,Spanish,Vietnamese,Chinese,Malay,Thai,Tamil)Smart TV Platform: WebOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes: 4 Modes (Universal Control,Point,Wheel,Voice), Direct Keys: Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice Recognition - Language: US English, Voice Recognition - Usage In: Search / Web browsing / SNS, Smart Phone Remote Controller, Premium Content (India Specific Apps), Full Web Browser, Game World, Live Zoom, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music Player, Multi ViewSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine (Ready), External HDD Recording Support: RF / Composite only, Watch & Record -(Items recordable when using smart functions): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection), Scheduled Recording, Watch & Record -(Other Item recordable when watching HDMI/Component): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection)Special: Motion Eco Senosor, Intelligent Sensor: White Sensor, Smart Energy Saving, e-Manual, Built-In Games, SimplinkOSD Languages : Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularlyLocal Key Type : Joystick",43LJ617T,-,0.3 Watts,-,-,974 mm x 625 mm x 219 mm,974 mm x 571 mm x 79.4 mm min: (70.3 ),LED FLAT,43 (108cm),-,Full HD 1920 x 1080,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,1,No,-,Color Master Engine,3,9.2 Kg,-,LG,"53,790"
-,https://www.vijaysales.com/Samsung-UA40M5000-40-100cm-Full-HD-LED-TV/5879,Yes,UA40M5000,7.2 kg,"Audio Out (Mini Jack), RF In",2 CH (Down Firing + Base Reflex),"Differentiation: Analog Clean View, Sports Mode Basic, Image Booster, Family TV 2.0, Indian Cinema ModeTuner/Broadcasting: Ready, Analog TunerDesign: Slim Edge Mold, NNB Bezel, Semi Slim FLED, Black Front Color, Y-Feet StandEco Sensor",UA40M5000,-,-,-,-,922.7 x 587.0 x 201.2 mm,922.7 x 531.0 x 72.6 mm,LED,40 (100cm),5,FULL HD & 1920 x 1080,"20 watts (L: 10 watts, R: 10 watts)",Dolby Digital Plus,-,-,AC100-240V 50/60Hz,No,1,No,1,HyperReal,Yes,7.0 kg,93 W,SAMSUNG,"39,000"
IPS,https://www.vijaysales.com/LG-32LJ618U-32-80cm-HD-Smart-LED-TV/5881,Yes,32LJ618U,-,"RF Connectivity Input : 1, Digital Audio Out (Optical): 1, Headphone Out: 1, LAN: 1, CI Slot, Component In (Y.Pb,Pr +Audio): (1(Composite/Component Common))",-,"BackLight Module : Slim LEDAnalog TV ReceptionSubtitle For DivX (Language) : 20 Language (Arabic,Cantonese,English,French,German,Hebrew,Hindi,Italian,Japanese, Korean, Mandarin, Maori, Persian,Russian,Spanish,Vietnamese,Chinese,Malay,Thai,Tamil)Smart TV Platform: WebOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes: 4 Modes (Universal Control,Point,Wheel,Voice), Direct Keys: Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice Recognition - Language: US English, Voice Recognition - Usage In: Search / Web browsing / SNS, Smart Phone Remote Controller, Premium Content (India Specific Apps), Full Web Browser, Game World, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music PlayerSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine (Ready), External HDD Recording Support: RF / Composite only, Watch & Record -(Items recordable when using smart functions): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection), Scheduled Recording, Watch & Record -(Other Item recordable when watching HDMI/Component): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection)Special: Motion Eco Senosor, Intelligent Sensor: White Sensor, Smart Energy Saving, e-Manual, Built-In Games, SimplinkOSD Languages : Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularlyLocal Key Type : Joystick",32LJ618U,-,0.3 Watts,-,-,-,-,LED FLAT,32 (80cm),-,HD 1366 x768,35 Watts,"Dolby Digital Decoder, DTS Decoder, Virtual Surround Sound, Clear Voice II",2.1 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,Color Master Engine,Yes,-,-,LG,"33,490"
IPS,https://www.vijaysales.com/LG-43LJ554T-43-108cm-Full-HD-Smart-LED-TV/5882,Yes,43LJ554T,8.4 Kg,"Terminal Rear: RF In, Component In (Y.Pb,Pr +Audio): 1(Composite/Component Common), Digital Audio Out (Optical), Headphone Out, LAN",-,"BackLight Module: Slim LEDAnalog TV ReceptionSmart Features: Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional) , WiFi Direct, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser",43LJ554T,-,0.3 Watts,-,-,977 mm x 615 mm x 187 mm,977 mmx 575 mm x 80.8 mm min: (71.7 ),LED FLAT,43 (108cm),-,Full HD 1920 x 1080,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,Color Master Engine,Yes,8.3 Kg,-,LG,"46,990"
LCD,https://www.vijaysales.com/Sony-KLV32R422E-32-80-cm-HD-Ready-LED-TV/5884,2 (Side/Stacking),KLV32R422E,Approx. 6.7 kg,"HDMI-CEC, HDMI Audio Return Channel (ARC), RF In, Audio/Headphone Output(s), HDCP1.4USB drive format support: FAT16/FAT32/NTFSUSB playback codecs: MPEG1/MPEG2PS/MPEG2TS/AVCHD/MP4Part10/MP4Part2/AVI(XVID)/AVI(MotionJpeg)/WMV9/MKV/WEBM/WAV/MP3/WMA/JPEG","Front: Open Baffle Speaker, SubWoofer: Bass Reflex Speaker","Display:Backlight type: Edge LED, Backlight dimming type: Frame DimmingSoftware: Operating System: LinuxDisplay Language: Indian Languages-ASSAMESE//BENGALI/ GUJARATI /HINDI /KANNADA/ MALAYALAM/ MARATHI/ ORIYA/ PANJABI /TAMIL/TELUGU/ Other Languages- AFRIKAANS/ARABIC/ ENGLISH/PERSIAN/FRENCH/ INDONESIAN/ PORTUGUESE/ RUSSIAN/SWAHILI/THAI/TURKISH/VIETNAMESE/SIMPLIFIED CHINESE/ZULUOn/Off Timer, Sleep Timer, TeletextPower Saving Mode / Back Light Off Mode, Dynamic Backlight ControlDesign: Black Frame colour, Mould Hair Black Stand Built-in Tuner: 1 (Analogue), TV System (Analogue)- B/G, D/K, I, M, Tuner Channel Coverage (Analogue)- 45.25 MHz-863.25 MHz, Depend on country/area selection",KLV32R422E,Motionflow™ XR 200,0.50 W,-,-,Approx. 731 x 490 x 187 mm,Approx. 731 x 442 x 70 mm,LED,32 (80cm),-,"HD Ready, 1366 x 768",8W+8W+14W,"Dolby® Digital, Dolby® Digital Plus, Dolby® Pulse",-,-,"AC 100–240 V, 50/60 Hz, DC 19.5 V",No,-,No,1,-,2 (2Side),Approx. 6.3 kg,69 W,SONY,"27,990"
IPS Panel,https://www.vijaysales.com/LG-43UJ652T-43-108cm-Ultra-HD-Smart-LED-TV/5909,"Yes, Terminal Side 1",43UJ652T,9.3 Kg,"Terminal Rear: RF In x 1, Component In (Y.Pb,Pr +Audio): 1(Composite/Component Common), Digital Audio Out (Optical) x 1, Headphone Out x 1, LAN x 1, HDMI x 2, USB x 1",-,"Smart Features: webOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional) , WiFi Direct, Magic Remote Built IN, Magic Remote Modes-4 Modes (Universal Control,Point,Wheel,Voice), Direct Keys (Apps)-Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice Recognition - Language-US English, Voice Recognition - Usage In-Search / Web browsing / SNS , Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World, Magic Zoom, 360 VR, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music Player, Multi ViewSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine(Ready), External HDD Recording Support, Watch & Record -(Items recordable when using smart functions), Scheduled RecordingUSB: DivX HD, JPEG, JPS, MPO Picture, External Device App Download , Audio Codec-AC3(Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X , Subtitle for DivX (Language)-15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special Features: Intelligent Sensor-White Sensor, Smart Energy Saving, OSD Language-Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularly , Simplink (HDMI CEC)",43UJ652T,-,0.3 Watts,-,-,974 mm x 625 mm x 219 mm,974 mm x 571 mm x 79.4 mm min: (70.3 ),LED,43 (108cm),-,Ultra HD 3840 x 2160,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,True 4K Engine,"Yes, Terminal Side 2",9.2 Kg,-,LG,"61,990"
-,https://www.vijaysales.com/LG-32LJ542D-32-80cm-HD-LED-TV/5621,1,32LJ542D,4.9 Kg,RF Connectivity Input : 1 (Rear),-,"BackLight Module : Slim LEDAnalog TV Reception : PAL/SECAM/NTSCSubtitle For DivX (Language) : 10 LanguageMotion Eco Sensor, Smart Energy SavingOSD Languages : Total 15Local Key Type : Joystick",32LJ542D,-,0.3 Watts,-,-,739 x 472 x 168 mm,739 x 441 x 84 mm,LED FLAT,32 (80cm),-,HD & 1366 X 768 Pixels,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,No,100~240Vac 50~60 Hz,No,1,No,1,Color Master Engine,2,4.9 Kg,-,LG,"25,090"
IPS,https://www.vijaysales.com/LG-43LJ531T-43-108cm-Full-HD-LED-TV/5622,2,43LJ531T,9.5 Kg,"RF Connectivity Input : 1, Headphone Out: 1,",-,"BackLight Module : Slim LEDAnalog TV Reception : PAL/SECAM/NTSCSubtitle For DivX (Language) : 20 LanguageMotion Eco Sensor, Smart Energy Saving, Built-In Games, Simplink (HDMI CEC)OSD Languages : Total 15Local Key Type : One Key on/off",43LJ531T,-,0.3 Watts,-,-,974 x 620 x 199 mm,974 x 571 x 79.4 mm,LED FLAT,43 (108cm),-,Full HD 1920 x 1080 Pixels,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,No,100~240Vac 50~60 Hz,No,1,No,-,Color Master Engine,2,9.3 Kg,-,LG,"42,190"
