PANEL_TYPE,url,USB,SKU,WEIGHT_WITH_STAND,OTHER_FEATURES,SPEAKER_TYPE,ADDITIONAL_FEATURES,MODEL_NAME,REFRESH_RATE,POWER_CONSUMPTION_(STAND-BY),PC_AUDIO_IN_(MINI_JACK),PC_AUDIO_OUT_(MINI_JACK),SIZE_WITH_STAND_(W_X_H_X_D),SIZE_WITHOUT_STAND_(W_X_H_X_D),SCREEN_TYPE,SCREEN_SIZE,SERIES,HD_TECHNOLOGY_&_RESOLUTION,SPEAKER_POWER_OUTPUT_(RMS),SOUND_TECHNOLOGY,SPEAKERS,SMART_TV,POWER_SUPPLY,3D,COMPONENT_VIDEO_INPUT,CURVE_TV,COMPOSITE_VIDEO_INPUT,PICTURE_ENGINE,HDMI,WEIGHT_WITHOUT_STAND,POWER_CONSUMPTION_(MAX),BRAND,price
IPS,https://www.vijaysales.com/LG-32LJ573D-32-80cm-HD-SMART-LED-TV/5623,2,32LJ573D,4.7 Kg,"RF Connectivity Input : 1, Digital Audio Out (Optical): 1, Headphone Out: 1, LAN: 1",-,"BackLight Module : Slim LEDAnalog TV ReceptionSubtitle For DivX (Language) : 20 Language AllShare, Connect Share, Display Mirroring, DLNA, Easylink (HDMI-CEC), Hotel Mode, MHL, MyRemote Apps, Network File Sharing/Browser",32LJ573D,-,0.3 Watts,-,-,734 x 474 x 172 mm,734 x 438 x 71 mm Min: (66 mm),LED FLAT,32 (80cm),-,HD 1366 x768 Pixels,20 Watts,Dolby Digital Decoder,2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,1,No,-,Color Master Engine,2,4.5 Kg,-,LG,"27,990"
IPS,https://www.vijaysales.com/LG-32LJ616D-32-80cm-HD-Smart-LED-TV/5624,2,32LJ616D,4.9 Kg,"RF Connectivity Input : 1, Digital Audio Out (Optical): 1, Headphone Out: 1, LAN: 1",-,"BackLight Module : Slim LEDAnalog TV ReceptionSubtitle For DivX (Language) : 20 Language (Arabic,Cantonese,English,French,German,Hebrew,Hindi,Italian,Japanese, Korean, Mandarin, Maori, Persian,Russian,Spanish,Vietnamese,Chinese,Malay,Thai,Tamil)Smart TV Platform: WebOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes: 4 Modes (Universal Control,Point,Wheel,Voice), Direct Keys: Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice Recognition - Language: US English, Voice Recognition - Usage In: Search / Web browsing / SNS, Smart Phone Remote Controller, Premium Content (India Specific Apps), Full Web Browser, Game World, Live Zoom, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music Player, Multi ViewSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine (Ready), External HDD Recording Support: RF / Composite only, Watch & Record -(Items recordable when using smart functions): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection), Scheduled Recording, Watch & Record -(Other Item recordable when watching HDMI/Component): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection)Special: Motion Eco Senosor, Intelligent Sensor: White Sensor, Smart Energy Saving, e-Manual, Built-In Games, SimplinkOSD Languages : Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularlyLocal Key Type : Joystick",32LJ616D,-,0.3 Watts,-,-,739 x 472 x 168 mm,739x 441 x 84 mm Min: (74.6 mm),LED FLAT,32 (80cm),-,HD 1366 x768,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,1,No,-,Color Master Engine,3,4.9 Kg,-,LG,"31,990"
IPS,https://www.vijaysales.com/LG-49LJ617T-49-123cm-FULL-HD-Smart-LED-TV/5625,2,49LJ617T,11.4 Kg,"RF Connectivity Input : 1, Digital Audio Out (Optical): 1, Headphone Out: 1, LAN: 1",-,"BackLight Module : Slim LEDAnalog TV ReceptionSubtitle For DivX (Language) : 20 Language (Arabic,Cantonese,English,French,German,Hebrew,Hindi,Italian,Japanese, Korean, Mandarin, Maori, Persian,Russian,Spanish,Vietnamese,Chinese,Malay,Thai,Tamil)Smart TV Platform: WebOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes: 4 Modes (Universal Control,Point,Wheel,Voice), Direct Keys: Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice Recognition - Language: US English, Voice Recognition - Usage In: Search / Web browsing / SNS, Smart Phone Remote Controller, Premium Content (India Specific Apps), Full Web Browser, Game World, Live Zoom, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music Player, Multi ViewSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine (Ready), External HDD Recording Support: RF / Composite only, Watch & Record -(Items recordable when using smart functions): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection), Scheduled Recording, Watch & Record -(Other Item recordable when watching HDMI/Component): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection)Special: Motion Eco Senosor, Intelligent Sensor: White Sensor, Smart Energy Saving, e-Manual, Built-In Games, SimplinkOSD Languages : Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularlyLocal Key Type : Joystick",49LJ617T,-,0.3 Watts,-,-,1107 x 705 x 232.9 mm,1107 x 645 x 79.4 mm Min: (70.3 mm),LED FLAT,49 (123cm),-,Full HD 1920 x 1080,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,1,No,-,Color Master Engine,3,11.3 Kg,-,LG,"62,990"
IPS,https://www.vijaysales.com/LG-55LJ550T-55-139cm-Full-HD-Smart-LED-TV/5626,1,55LJ550T,14.3 Kg,"RF Connectivity Input : 1, Digital Audio Out (Optical): 1, Headphone Out: 1, LAN: 1",-,"BackLight Module : LEDAnalog TV ReceptionSubtitle For DivX (Language) : 20 Language (Arabic,Cantonese,English,French,German,Hebrew,Hindi,Italian,Japanese, Korean, Mandarin, Maori, Persian,Russian,Spanish,Vietnamese,Chinese,Malay,Thai,Tamil)Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Smart Phone Remote Controller, Premium Content (India Specific Apps), Full Web Browser, Game World, Live Zoom, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music PlayerSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File BrowserTime Machine: Time Machine (Ready), External HDD Recording Support: RF / Composite only, Watch & Record -(Items recordable when using smart functions): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection), Scheduled Recording, Watch & Record -(Other Item recordable when watching HDMI/Component): RF/ (DTV/ATV)Composite (STB) (Excluding Copy Protection)Special: Smart Energy Saving, Built-In GamesOSD Languages : Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularlyLocal Key Type : Joystick",55LJ550T,-,0.3 Watts,-,-,1249 x 785 x 235 mm,1249 x 730 x 83.4 mm Min: (74.3 mm),LED FLAT,55 (139cm),-,Full HD 1920 x 1080,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,1,No,-,Color Master Engine,2,14.2 Kg,-,LG,"79,990"
Advanced LED Panel Techonology,https://www.vijaysales.com/LG-43UJ752T-43-108cm-Ultra-HD-Smart-LED-TV/5627,"Yes, Terminal Side 1",43UJ752T,11.4 Kg,"Terminal Rear: 1 x RF In, Component In (Y.Pb,Pr +Audio): 1(Composite/Component Common), 1 x Digital Audio Out (Optical), 1 x Headphone out, 1 x LAN, HDMI x 2, USB x 1",-,"Smart Features: WebOS, Launcher (Recent/Home/My Apps), WiFi Built In, WiFi Direct, Magic Remote Built In, Voice Recognition, Full Web Browser, Game World (IN LG Store), Magic Zoom, 360 VR, Single Click (Quick) Access, LG Store, Music Player, Multi View, Magic Mobile ConnectionLG Smart Share: DLNA, Miracast TM, Intel WiDi, Network File Browser, Bluetooth wireless headphone connection and control (With LG Product Only)Time Machine : External HDD Recording Support (RF/Composite only), Watch & Record -(Other Items recordable when watching HDMI / Component & using Smart Functions) (RF(DTV/ATV) Composite(STB) (Excluding Copy Protection)), Scheduled RecordingSpecial Features : Intelligent Sensor (White Sensor), Smart Energy Saving, SimplinkLocal Key Type: JoystickNano Cell DisplayTM, BackLight Module (Slim LED), Active HDR With Dolby Vision, Micro Pixel Control (Local Dimming), Analog TV Reception, Digital TV Reception (Terrestrial DVB-T2)OSD Language: Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularly Subtitle for DivX (Language): 15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)",43UJ752T,-,0.3 Watts,-,-,967.6 mm X 628.9 mm X 213.4 mm,967.6 mm X 566.4 mm X 62.1 min : (40.8),LED,43 (108cm),-,Ultra HD 3840 x 2160,20 Watts,"Dolby Digital Decoder, DTS Decoder",2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,True 4K Engine,"Yes, Terminal Side 2",10.2 Kg,-,LG,"74,990"
LCD,https://www.vijaysales.com/Sony-KD43X8200E-43-108cm-Ultra-HD-Smart-LED-TV/5671,3,KD43X8200E,10.8 Kg,"1 x RF In, 1 x Ethernet, 1 x Audio Out, 1 x Digital audio output, RS-232C Input",Bass Reflex Speaker,"Additional Features: Bluetooth support: v4.1 HID/HOGP/SPPSmartphone connectivity: Chromecast built-in, Photo Sharing Plus, Screen mirroring - Miracast), Video & TV SideView (iOS/Android)USB playback codecs: MPEG1: MPEG1/MPEG2PS: MPEG2/MPEG2TS(HDV, AVCHD): MPEG2, AVC/MP4 (XAVC S): AVC, MPEG4, HEVC/AVI: Xvid, MotionJpeg/ASF(WMV): VC1/MOV: AVC, MPEG4, MotionJpeg/MKV: Xvid, AVC, MPEG4, VP8. HEVC/WEBM: VP8/3GPP: MPEG4, AVC/MP3/ASF (WMA)/WAV/MP4AAC/FLAC/JPEGUSB drive format: FAT16/FAT32/exFAT/NTFSOther Features: On-board Storage: 16GBDisplay Language: ENGLISH/SIMPLIFIED CHINESE/TRADITIONAL CHINESE /AFRIKAANS/ARABIC/INDONESIAN/PERSIAN/SWAHILI/THAI/VIETNAMESE/ZULU/FRENCH/PORTUGUESE/RUSSIAN/ASSAMESE/BENGALI/GUJARATI/HINDI/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/TAMIL/TELUGUText Input Language: BULGARIAN/CATALAN/CROATIAN/CZECH/DANISH/DUTCH/ENGLISH/ESTONIAN/FINNISH/FRENCH/GERMAN/GREEK/HUNGARIAN/ITALIAN/LATVIAN/LITHUANIAN/NORWEGIAN/POLISH/PORTUGUESE/ROMANIAN/RUSSIAN/SLOVAK/SLOVENIAN/SPANISH/SWEDISH/TURKISH/UKRAINIAN/THAI/VIETNAMESE/ARABIC/PERSIAN/JAPANESEContent Bar, Voice Search, Electronic Program Guide, On/Off Timer, Sleep Timer, Teletext, Closed Captions ((Analogue)-(Digital) Subtitle)Design: Black Frame colour, Silver U Slate StandNetwork Connectivity : Android TV, Internet Browser (Opera), Google Play StoreBuilt In Tuners : Digital Terrestrial (DVB-T/T2), 1(Digital/Analog)Eco Features : Light Sensors, Power Saving Modes, Dynamic Backlight Control, Backlight Off ModeWi-Fi Standard",KD43X8200E,Motionflow™ XR 200 (Native 50 Hz),0.5W,-,-,964 mm X 617 mm X 242 mm,964 mm X 567 mm X 57 mm,LED,43 (108 cm),-,Ultra HD & 3840 x 2160,12W+12W+8W+8W,"DTS Digital Surround, Dolby Digital/Dolby Digital Plus/Dolby Pulse",-,"Yes, (Android 7.0 Nougat)","AC 100–240 V, 50/60 Hz DC 19.5 V",No,1 (Bottom Hybrid with Composite),No,2 (1Bottom Analog Conversion/1Bottom Hybrid with Component),4K X-Reality PRO,4,10.1 Kg,120 w,SONY,"79,990"
LCD,https://www.vijaysales.com/Sony-KD49X8200E-49-124-46cm-Ultra-HD-Smart-LED-TV/5672,3,KD49X8200E,12.9 Kg,"1 x RF In, 1 x Ethernet, 1 x Audio Out, 1 x Digital audio output, RS-232C Input",Bass Reflex Speaker,"Additional Features: Bluetooth support: v4.1 HID/HOGP/SPPSmartphone connectivity: Chromecast built-in, Photo Sharing Plus, Screen mirroring - Miracast), Video & TV SideView (iOS/Android)USB playback codecs: MPEG1: MPEG1/MPEG2PS: MPEG2/MPEG2TS(HDV, AVCHD): MPEG2, AVC/MP4 (XAVC S): AVC, MPEG4, HEVC/AVI: Xvid, MotionJpeg/ASF(WMV): VC1/MOV: AVC, MPEG4, MotionJpeg/MKV: Xvid, AVC, MPEG4, VP8. HEVC/WEBM: VP8/3GPP: MPEG4, AVC/MP3/ASF (WMA)/WAV/MP4AAC/FLAC/JPEGUSB drive format: FAT16/FAT32/exFAT/NTFSOther Features: On-board Storage: 16GBDisplay Language: ENGLISH/SIMPLIFIED CHINESE/TRADITIONAL CHINESE /AFRIKAANS/ARABIC/INDONESIAN/PERSIAN/SWAHILI/THAI/VIETNAMESE/ZULU/FRENCH/PORTUGUESE/RUSSIAN/ASSAMESE/BENGALI/GUJARATI/HINDI/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/TAMIL/TELUGUText Input Language: BULGARIAN/CATALAN/CROATIAN/CZECH/DANISH/DUTCH/ENGLISH/ESTONIAN/FINNISH/FRENCH/GERMAN/GREEK/HUNGARIAN/ITALIAN/LATVIAN/LITHUANIAN/NORWEGIAN/POLISH/PORTUGUESE/ROMANIAN/RUSSIAN/SLOVAK/SLOVENIAN/SPANISH/SWEDISH/TURKISH/UKRAINIAN/THAI/VIETNAMESE/ARABIC/PERSIAN/JAPANESEContent Bar, Voice Search, Electronic Program Guide, On/Off Timer, Sleep Timer, Teletext, Closed Captions ((Analogue)-(Digital) Subtitle)Design: Black Frame colour, Silver U Slate StandNetwork Connectivity : Android TV, Internet Browser (Opera), Google Play StoreBuilt In Tuners : Digital Terrestrial (DVB-T/T2), 1(Digital/Analog)Eco Features : Light Sensors, Power Saving Modes, Dynamic Backlight Control, Backlight Off ModeWi-Fi Standard",KD49X8200E,Motionflow™ XR 200 (Native 50 Hz),0.5W,-,-,1096 mm X 691 mm X 252 mm,1096 mm X 640 mm X 57 mm,LED,49 (124.46 cm),-,Ultra HD & 3840 x 2160,12W+12W+8W+8W,"DTS Digital Surround, Dolby Digital/Dolby Digital Plus/Dolby Pulse",-,"Yes, (Android 7.0)","AC 100–240 V, 50/60 Hz DC 19.5 V",No,1 (Bottom Hybrid with Composite),No,2 (1Bottom Analog Conversion/1Bottom Hybrid with Component),4K X-Reality PRO,4,12.2 Kg,137 W,SONY,"99,990"
OLED,https://www.vijaysales.com/Sony-KD55A1-55-139-cm-Ultra-HD-Smart-OLED-TV/5681,3,KD55A1,Approx. 28.8 kg,"Wi-Fi Standard: Wi-Fi Certified 802.11a/b/g/n/acEthernet inputs (1 (Bottom))Bluetooth: v4.1 (HID / HOGP / SPP / A2DP / AVRCP), 1 x RF Connection Input, RS-232C Input x 1, HDCP2.2 (for HDMI™1/2/3/4), HDMI-CEC, HDMI Audio Return Channel (ARC), Digital Audio Output, Audio/Headphone OutputUSB drive format: FAT16/FAT32/exFAT/NTFSUSB playback codecs: MPEG1: MPEG1/MPEG2PS: MPEG2/MPEG2TS(HDV, AVCHD): MPEG2, AVC/MP4 (XAVC S): AVC, MPEG4, HEVC/AVI: Xvid, MotionJpeg/ASF(WMV): VC1/MOV: AVC, MPEG4, MotionJpeg/MKV: Xvid, AVC, MPEG4, VP8. HEVC/WEBM: VP8/3GPP: MPEG4, AVC/MP3/ASF (WMA)/WAV/MP4AAC/FLAC/JPEG",Acoustic Surface (Actuator + Subwoofer),"Smartphone connectivity: Chromecast built-in, Photo Sharing Plus, Screen mirroring (Miracast™), Video & TV SideView (iOS/Android)Android TV Features : Android OSOn-board Storage (GB): 16GBDisplay Language: ENGLISH/SIMPLIFIED CHINESE/TRADITIONAL CHINESE /AFRIKAANS/ARABIC/INDONESIAN/PERSIAN/SWAHILI/THAI/VIETNAMESE/ZULU/FRENCH/PORTUGUESE/RUSSIAN/ASSAMESE/BENGALI/GUJARATI/HINDI/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/TAMIL/TELUGUText Input Language: BULGARIAN/CATALAN/CROATIAN/CZECH/DANISH/DUTCH/ENGLISH/ESTONIAN/FINNISH/FRENCH/GERMAN/GREEK/HUNGARIAN/ITALIAN/LATVIAN/LITHUANIAN/NORWEGIAN/POLISH/PORTUGUESE/ROMANIAN/RUSSIAN/SLOVAK/SLOVENIAN/SPANISH/SWEDISH/TURKISH/UKRAINIAN/THAI/VIETNAMESE/ARABIC/PERSIAN/JAPANESEContent Bar, Voice Search, Electronic Programme Guide (EPG), Internet Browser (Opera), Google Play Store, On/Off Timer, Sleep Timer, Teletext, Closed Captions (Analog/Digital)SubtitlePower Saving Mode / Back Light Off Mode, Light SensorDesign: Black Frame colourBuilt-in Tuner: 1(Digital/Analogue), B/G, D/K, I, M, 45.25 Mhz–863.25 MHz (Depends on country/area selection), DVB-T/T2, VHF/UHF(Depend on country/area selection)",KD55A1,Motionflow™ XR,0.5 Watts,-,-,Approx. 1228 x 710 x 339 mm,Approx. 1228 x 711x 86 mm,LED,55 (139cm),-,4K ULTRA HD & 3840 x 2160,10 W + 10 W + 10 W + 10 W + +10 W,"Dolby Digital, Dolby Digital Plus, Dolby Pulse",-,Yes,AC 110-240V ~ 50/60 Hz,No,-,No,1,4K X-Reality PRO,4,Approx. 25.0 kg,357 Watts,SONY,"2,99,990"
-,https://www.vijaysales.com/Samsung-UA49M5570-49-124-46cm-Full-HD-Smart-LED-TV/5693,2,UA49M5570,14.6 kg,"1 x Digital Audio Out (Optical), 1 x RF In, CI Slot, HDMI A / Return Ch. Support, HDMI Quick Switch",2 CH (Down Firing w / Bass Reflex),"Smart TV : Voice Interaction (UK English), TV to Mobile - Mirroring, Mobile to TV - Mirroring DLNA, Bluetooth Low Energy, WiFi DirectDifferentiation: S-Share, Sound Mirroring, Dongle Compatibility (3G / LTE / WiFi), Analog Clean View",UA49M5570,-,-,-,-,1105.8 x 710.2 x 293.8 mm,1105.8 x 645.0 x 55.1 mm,LED,49 (124.46 cm),5,FULL HD & 1920 × 1080,20 watts,Dolby Digital Plus,-,Yes,AC100-240V 50/60Hz,No,1,No,1,HyperReal,3,13.0 kg,118 W,SAMSUNG,"68,900"
-,https://www.vijaysales.com/Samsung-UA55M5570-55-138cm-Full-HD-Smart-LED-TV/5694,2,UA55M5570,17.6 kg,"1 x Digital Audio Out (Optical), 1 x RF In, CI Slot, HDMI A / Return Ch. Support, HDMI Quick Switch",2 CH (Down Firing w / Bass Reflex),"Smart TV : Voice Interaction (UK English), TV to Mobile - Mirroring, Mobile to TV - Mirroring DLNA, Bluetooth Low Energy, WiFi DirectDifferentiation: S-Share, Sound Mirroring, Dongle Compatibility (3G / LTE / WiFi), Analog Clean View",UA55M5570,-,-,-,-,1241.6 x 786.4 x 293.8 mm,1241.6 x 721.4 x 55.1 mm,LED,55 (138cm),5,FULL HD & 1920 × 1080,20 watts,Dolby Digital Plus,-,Yes,AC100-240V 50/60Hz,No,1,No,1,HyperReal,3,16.0 kg,128 W,SAMSUNG,"92,900"
-,https://www.vijaysales.com/Samsung-UA49MU6470-49-123cm-Ultra-HD-Smart-LED-TV/5695,2,UA49MU6470,16 kg,"1 x Digital Audio Out (Optical), 1 x RF In, CI Slot, HDMI A / Return Ch. Support, HDMI Quick Switch",2 CH(Down Firing w/Bass Reflex),"Smart TV : Voice Interaction (UK English), TV to Mobile - Mirroring, Mobile to TV - Mirroring DLNA, 360 Video Player, Bluetooth Low Energy, WiFi DirectDifferentiation: S-Share, Sound Mirroring, Dongle Compatibility (3G / LTE / WiFi), Analog Clean View",UA49MU6470,-,-,-,-,1099.4 x 707.5 x 334.3 mm,1099.4 x 638.7 x 54.8 mm,LED,49 (123 cm),6,4K UHD & 3840 X 2160,20 watts,Dolby Digital Plus,-,Yes,AC100-240V 50/60Hz,No,1,No,1,UHD Up-Scaling,3,14 kg,145 W,SAMSUNG,"1,04,900"
-,https://www.vijaysales.com/Samsung-UA55MU6470-55-138cm-Ultra-HD-Smart-LED-TV/5696,2,UA55MU6470,19 kg,"1 x Digital Audio Out (Optical), 1 x RF In, CI Slot, HDMI A / Return Ch. Support, HDMI Quick Switch",2 CH(Down Firing w/Bass Reflex),"Smart TV : Voice Interaction (UK English), TV to Mobile - Mirroring, Mobile to TV - Mirroring DLNA, 360 Video Player, Bluetooth Low Energy, WiFi DirectDifferentiation: S-Share, Sound Mirroring, Dongle Compatibility (3G / LTE / WiFi), Analog Clean View",UA55MU6470,-,-,-,-,1235.2 x 783.9 x 334.3 mm,1235.2 x 715.1 x 54.8 mm,LED,55 (138 cm),6,4K UHD & 3840 X 2160,20 watts,Dolby Digital Plus,-,Yes,AC100-240V 50/60Hz,No,1,No,1,UHD Up-Scaling,3,16.9 kg,160 W,SAMSUNG,"1,19,900"
-,https://www.vijaysales.com/Videocon-VNV50Q549SAMP-49-123-cm-Ultra-HD-Smart-LED-TV/5728,"3 (2 x USB 2.0, 1 x USB 3.0)",VNV50Q549SAMP,12.8 Kg,"SPDIF, Wi-Fi (In-built), RF IN, 2 x AV IN, 1 x DVD Compatibility (YPbPr/YCbCr), PC VGA In",-,"Smart Features : App Store (Android), Inbuilt WiFi, Smartphone Connectivity (MHL), Browser, 4GB Nand Flash Memory, Expandable Memory, Browsing, Skype, Facebook, HDMI-CEC (Smart Connect)",VNV50Q549SA,-,-,1,-,1098 mm x 675 mm x 243 mm,1098 mm x 635 mm x 54 mm,LED,49 (123 cm),VNV,4K Ultra HD & 3840 x 2160,2 x 10 Watts (+-2W),-,-,Yes,110-240V ~ 50/60Hz,No,-,No,-,-,3,12.5 Kg,-,VIDEOCON,"42,490"
-,https://www.vijaysales.com/Samsung-UA32M5570-32-81-28cm-Full-HD-Smart-LED-IDTV/5729,2,UA32M5570,6.2 kg,"1 X Digital Audio Out (Optical), 1 x RF In, CI Slot, HDMI A / Return Ch. Support, HDMI Quick Switch",2 CH (Down Firing w/Bass Reflex),"Smart TV: Voice Interaction (UK English), One App Support, Smart ViewSmart Convergence : TV to Mobile - Mirroring, Mobile to TV - Mirroring, DLNA, Bluetooth Low Energy, WiFi DirectDifferentiation: S-Share, Sound Mirroring, Dongle Compatibility",UA32M5570,-,-,-,-,730.4 x 487.7 x 207.5 mm,730.4 x 433.7 x 55.1 mm,LED,32 (81.28 cm),5,Full HD & 1920 X 1080,20 W,Dolby Digital Plus,-,Yes,AC100-240V 50/60Hz,No,1,No,1,Hyper Real Engine,3,5.5 kg,80 W,SAMSUNG,"36,900"
