PANEL_TYPE,url,USB,SKU,WEIGHT_WITH_STAND,OTHER_FEATURES,SPEAKER_TYPE,ADDITIONAL_FEATURES,MODEL_NAME,REFRESH_RATE,POWER_CONSUMPTION_(STAND-BY),PC_AUDIO_IN_(MINI_JACK),PC_AUDIO_OUT_(MINI_JACK),SIZE_WITH_STAND_(W_X_H_X_D),SIZE_WITHOUT_STAND_(W_X_H_X_D),SCREEN_TYPE,SCREEN_SIZE,SERIES,HD_TECHNOLOGY_&_RESOLUTION,SPEAKER_POWER_OUTPUT_(RMS),SOUND_TECHNOLOGY,SPEAKERS,SMART_TV,POWER_SUPPLY,3D,COMPONENT_VIDEO_INPUT,CURVE_TV,COMPOSITE_VIDEO_INPUT,PICTURE_ENGINE,HDMI,WEIGHT_WITHOUT_STAND,POWER_CONSUMPTION_(MAX),BRAND,price
-,https://www.vijaysales.com/LG-OLED55B7T-55-138cm-Ultra-HD-Smart-OLED-TV/5737,"Yes, Terminal Side 2",OLED55B7T,-,"Terminal Rear: RF In x 1, Composite In (CVBS + Audio) x 1, Component In (Y.Pb,Pr +Audio) x 1(Composite/Component Common), Digital Audio Out (Optical) x 1, Headphone Out x 1(Phone Jack Type), LAN x 1, HDMI x 2, USB x 1",-,"LG Smart TV : WebOS, WiFi Built In, WiFi Direct, Magic Remote Built In, Magic Remote Modes (4 Modes (Universal Control,Point,Wheel,Voice)), Direct Keys (Apps), Video Calling (TellyBean), Voice Recognition, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World (In LG Store), Magic Zoom, 360 VR, Quick (1 Click) Access, OLED Gallery, LG Store, Magic Mobile Connection, Music Player, Multi ViewLG SmartShare : DLNA, Miracast TM, Intel WiDi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: External HDD Recording Support (RF / Composite only), Watch & Record (Items recordable when watching RF DTV or using Smart Functions), Scheduled RecordingUSB Playback Format : Video (DivX HD) / Picture (JPEG, JPS, MPO) / AC3 (Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, Subtitle for DivX (Language): 15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special Features : Motion Eco Sensor, Intelligent Sensor (White Sensor), Smart Energy Saving, e-Manual, OSD Language: Total 25, Indian : 11 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati) Subject to updation regularly, Self Lighting PixelActive HDR With Dolby Vision, Analog TV Reception, Digital TV Reception (Terrestrial DVB-T2)",OLED55B7T,-,0.3 W,-,-,-,-,OLED,55 (138 cm),-,Ultra HD 3840 x 2160,40W,Dolby Digital Decoder & DTS Decoder,2.2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,True 4K Engine (OLED Master Engine),"Yes, Terminal Side 2",-,-,LG,"2,14,990"
-,https://www.vijaysales.com/LG-OLED65C7T-65-164cm-Ultra-HD-Smart-OLED-TV/5739,"Yes, Terminal Side 1",OLED65C7T,24.7 Kg,"Terminal Rear: RF In x 1, Composite In (CVBS + Audio) x 1, Component In (Y.Pb,Pr +Audio) x 1(Composite/Component Common), Digital Audio Out (Optical) x 1, Headphone Out x 1(Phone Jack Type), LAN x 1, HDMI x 1, USB x 2",-,"LG Smart TV : WebOS, Launcher (Recent / Home / My Apps), WiFi Built In, WiFi Direct, Magic Remote Built In, Magic Remote Modes (4 Modes (Universal Control,Point,Wheel,Voice)), Direct Keys (Apps), Video Calling (TellyBean), Voice Recognition, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World (In LG Store), Magic Zoom, 360 VR, Single Click (Quick) Access, OLED Gallery, LG Store, Magic Mobile Connection, Music Player, Multi ViewLG SmartShare : DLNA, Miracast TM, Intel WiDi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: External HDD Recording Support (RF / Composite only), Watch & Record (Items recordable when watching RF DTV or using Smart Functions), Scheduled RecordingUSB Playback Format : Video (DivX HD) / Picture (JPEG, JPS, MPO) / AC3 (Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, Subtitle for DivX (Language): 15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special Features : Motion Eco Sensor, Intelligent Sensor (White Sensor), Smart Energy Saving, e-Manual, OSD Language: Total 25, Indian : 11 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati) Subject to updation regularly, Self Lightning PixelActive HDR With Dolby Vision, Analog TV Reception, Digital TV Reception (Terrestrial DVB-T2), Infinite ContrastDisplay Type: Flat",OLED65C7T,-,0.3 W,-,-,1453 mm x 873 mm x 217 mm,1453 mm x 833 mm x 46.6 mm min: (4.6 ),OLED,65 (164cm),-,Ultra HD 3840 x 2160,40W,Dolby Digital Decoder & DTS Decoder,2.2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,True 4K Engine (OLED Master Engine),"Yes, Terminal Side 3",22.8 Kg,-,LG,"3,59,990"
"LCD, Edge LED Backlight type",https://www.vijaysales.com/Sony-KD49X7002E-49-123cm-Ultra-HD-Smart-LED-TV/5758,3 (Side),KD49X7002E,Approx. 12.1 Kg,"Wi-Fi Standard: Wi-Fi® Certified 802.11b/g/nEthernet inputs: 1 (Bottom)Smartphone connectivity: Photo Sharing Plus, Screen mirroring (Miracast™)RF x 1HDCP: HDCP 2.2 (for HDMI™1/2/3)HDMI-CEC: YesHDMI Audio Return Channel (ARC): YesDigital Audio Output(s): 1 (Bottom)Audio/Headphone Output(s): 1 (Rear)USB drive format support: FAT16/FAT32/NTFSUSB playback codecs: MPEG1/MPEG2PS/MPEG2TS/AVCHD/MP4Part10/MP4Part2/AVI(XVID)/AVI(MotionJpeg)/WMV9/MKV/WEBM/WAV/MP3/WMA/JPEG",Open Baffle Speaker,"SoftwareOperating System: LinuxOn-board Storage (GB): 4 GBDisplay Language: AFRIKAANS/ARABIC/ASSAMESE/BENGALI/ENGLISH/PERSIAN/FRENCH/GUJARATI/HINDI/INDONESIAN/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/PORTUGUESE/RUSSIAN/SWAHILI/TAMIL/TELUGU/THAI/TURKISH/VIETNAMESE/SIMPLIFIED CHINESE/ZULUText Input Language: ENGLISHInternet Browser: OperaApplication Store: Yes (Opera Store)On/Off Timer, Sleep Timer, Teletext",KD49X7002E,Motionflow™ XR 200 (Native 50 Hz),0.50 W,-,-,Approx. 1102 x 694 x 252 mm,Approx. 1102 x 646 x 70 mm,LED,123 cm (49),-,Ultra HD & 3840 x 2160,10 W+10 W,"Dolby® Digital, Dolby® Digital Plus, Dolby® Pulse",,Yes,"AC 100–240 V, 50/60 Hz DC 19.5 V",No,-,No,1 (Bottom),4K X-Reality PRO,3 (2 Side/1 Rear),Approx. 11.4 Kg,114 W,SONY,"79,990"
"LCD, Edge LED Backlight type",https://www.vijaysales.com/Sony-KD43X7002E-43-108cm-Ultra-HD-Smart-LED-TV/5759,3 (Side),KD43X7002E,Approx. 10 Kg,"Wi-Fi Standard: Wi-Fi® Certified 802.11b/g/nEthernet inputs: 1 (Bottom)Smartphone connectivity: Photo Sharing Plus, Screen mirroring (Miracast™)RF x 1HDCP: HDCP 2.2 (for HDMI™1/2/3)HDMI-CEC: YesHDMI Audio Return Channel (ARC): YesDigital Audio Output(s): 1 (Bottom)Audio/Headphone Output(s): 1 (Rear)USB drive format support: FAT16/FAT32/NTFSUSB playback codecs: MPEG1/MPEG2PS/MPEG2TS/AVCHD/MP4Part10/MP4Part2/AVI(XVID)/AVI(MotionJpeg)/WMV9/MKV/WEBM/WAV/MP3/WMA/JPEG",Open Baffle Speaker,"SoftwareOperating System: LinuxOn-board Storage (GB): 4 GBDisplay Language: AFRIKAANS/ARABIC/ASSAMESE/BENGALI/ENGLISH/PERSIAN/FRENCH/GUJARATI/HINDI/INDONESIAN/KANNADA/MALAYALAM/MARATHI/ORIYA/PANJABI/PORTUGUESE/RUSSIAN/SWAHILI/TAMIL/TELUGU/THAI/TURKISH/VIETNAMESE/SIMPLIFIED CHINESE/ZULUText Input Language: ENGLISHInternet Browser: OperaApplication Store: Yes (Opera Store)On/Off Timer, Sleep Timer, Teletext",KD43X7002E,Motionflow™ XR 200 (Native 50 Hz),0.50 W,-,-,Approx. 971 x 620 x 242 mm,Approx. 971 x 571 x 70 mm,LED,108 cm (43),-,Ultra HD & 3840 x 2160,10 W+10 W,"Dolby® Digital, Dolby® Digital Plus, Dolby® Pulse",,Yes,"AC 100–240 V, 50/60 Hz DC 19.5 V",No,-,No,1 (Bottom),4K X-Reality PRO,3 (2 Side/1 Rear),Approx. 9.3 Kg,101 W,SONY,"60,990"
-,https://www.vijaysales.com/Samsung-UA50MU6100-50-125cm-Ultra-HD-Smart-LED-TV/5766,2,UA50MU6100,12.7 kg,"Digital Audio Out (Optical), RF In, HDMI A / Return Ch. Support, HDMI Quick Switch",2 CH (Down Firing w/Bass Reflex),"Smart Service: Voice Interaction (UK English)Convergence: TV to Mobile-Mirroring, Mobile to TV-Mirroring, DLNA, 360 Video Player, Bluetooth Low Energy, WiFi DirectDifferentiation: S-Share, Sound Mirroring, Dongle Compatibility (3G / LTE / WiFi)",UA50MU6100,-,-,-,-,1128.9 x 723.7 x 310.5 mm,1128.9 x 654.4 x 63.2 mm,LED,50 (125cm),6,4K UHD & 3840 X 2160,20 W,Dolby Digital Plus,-,Yes,AC100-240V 50/60Hz,No,1,No,1,UHD Up-Scaling,3,11.5 kg,185 W,SAMSUNG,"83,900"
IPS 4K Panel,https://www.vijaysales.com/LG-43UJ632T-43-108cm-Ultra-HD-Smart-LED-TV/5997,"Yes, Terminal Side x 1",43UJ632T,8.4 Kg,"Terminal Rear: RF In, Digital Audio Out (Optical), Headphone Out, LAN, HDMI, USB",-,"LG Smart TV: webOS, Launcher (Recent / Home / My Apps), Wi-Fi (Built IN/ Optional), WiFi Direct, Magic Remote Built IN, Magic Remote Modes (4 Modes (Universal Control,Point,Wheel,Voice)), Direct Keys (Apps)-Netflix, Amazon, Video Calling (TellyBean), Voice Recognition, Voice recognition - Language-US English, Voice recognition - Usage In-Search / Web browsing / SNS, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World-Yes(In LG Store), Magic Zoom-Live + Focus Zoom, 360 VR, Single Click (Quick) Access, LG Store, Magic Mobile Connection, Music Player, Multi ViewSmart Convergence: DLNA, Miracast TM, Intel Widi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: Time Machine(Ready), External HDD Recording Support, Scheduled Recording, Watch & Record -(Items recordable when using smart functions)USB: DivX HD, Picture (JPEG,JPS,MPO), External Device App Download , Audio Codec-AC3(Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, Subtitle for DivX (Language)-15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special: White Sensor, Smart Energy Saving, OSD Language-Total 25, Indian : 12 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati,Udeya) Subject to updation regularly, Simplink (HDMI CEC)Local Key Type: Joystick",43UJ632T,-,0.3 W,-,-,977 mm x 615 mm x 187 mm,977 mm x 575 mm x 80.8 mm min: (71.7 ),LED,43 (108 cm),-,Ultra HD 3840 x 2160,20 W,Dolby Digital Decoder & DTS Decoder,2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,Yes,No,Yes,True 4K Engine,"Yes, Terminal Side x 2",8.3 Kg,-,LG,"58,990"
-,https://www.vijaysales.com/Haier-LE65B8500U-65-165cm-Ultra-HD-LED-TV/6006,Yes,LE65B8500U,-,"RF Connection Input x 1, Analog Audio Input x 1, Audio Output x 1, Headphone Output x 1",-,"Convenience Features: Sleep Timer, On / Off Timer, Info, USB Photo Viewer, Pre Channel",LE65B8500U,-,0.5,-,-,-,-,LED,65 (165cm),-,4K Ultra HD & 3840 x 2160 Pixels,10W x 2,-,Yes,-,-,No,1,No,1,-,3,-,198,HAIER,"77,490"
-,https://www.vijaysales.com/Haier-LE55Q6500U-55-140cm-Ultra-HD-Smart-Curve-LED-TV/6007,Yes,LE55Q6500U,-,"RF Connection Input x 1, Analog Audio Input x 1, Audio Output x 1, Headphone Output x 1, Ethernet LAN x 1, Wireless(Built In or Dongle) x 1",-,"Convenience Features: Linux Smart TV Platform, On / Off Timer, USB Photo Viewer, USB Music Player, USB Video Player, Favourites, ZoomSmart Share",LE55Q6500U,-,0.5,-,-,-,-,LED,55 (140cm),-,4K Ultra HD & 3840 x 2160 Pixels,10W x 2,-,Yes,Yes,-,No,1,Yes,1,-,3,-,168,HAIER,"60,990"
-,https://www.vijaysales.com/Haier-LE55Q9500U-55-139cm-Ultra-HD-Curve-LED-TV/6008,Yes,LE55Q9500U,-,"RF Connection Input x 1, Audio Output x 1, Headphone Output x 1",-,"Convenience Features: Sleep Timer, Info, FavouritesMobile High-Definition Link (MHL)AVL(Auto Volume Leveler)",LE55Q9500U,-,0.5,-,-,-,-,LED,55 (139 cm),-,4K Ultra HD & 3840 x 2160 Pixels,10W x 2,-,Yes,-,-,No,1,Yes,1,-,4,-,150,HAIER,"47,990"
-,https://www.vijaysales.com/Onida-LEO40HG-38-5-97-79cm-HD-LED-TV/6011,2,LEO40HG,7.5 kg,"1 x RF In, AV IN, Earphone x 1",-,"Other Features: Alarm, Sleep Timer, Hotel Mode (Optional), Blue Black, Scrolling DisplayFront Keyboard OSD: OptionalOSD Languages: English, Russian, ArabicNo Of Programs: 1 ~ 200Color System: PAL / SECAM /AUTONTSC Playback: PAL / SECAM /NTSC (MULTISYSTEM)Sound System: BG / I / DK /AUTO",LEO40HG,-,0.5W,-,-,883 mm X 557 mm x192 mm,880 mm x515 mm x76 mm,LED,38.5 (97.79cm),-,HD & 1366 X 768 Pixels,8w+8w,-,2,No,100 ~ 240 VAC ; 50Hz/60Hz,No,-,No,-,-,2,6.0 kg,80 WATT,ONIDA,"21,990"
Advanced LED Panel Techonology,https://www.vijaysales.com/LG-75SJ955T-75-190cm-Super-Ultra-HD-Smart-LED-TV/6012,"Yes, Terminal Side 1",75SJ955T,-,"Terminal Rear: 1 x RF In, Composite In (CVBS + Audio): 1, Component In (Y.Pb,Pr +Audio): 1(Composite/Component Common), 1 x Digital Audio Out (Optical), 1 x Headphone out, 1 x LAN, HDMI x 1, USB x 2",-,"Smart Features: WebOS, Launcher (Recent/Home/My Apps), WiFi Built In/Optional, WiFi Direct, Magic Remote Built In, Voice Recognition, Full Web Browser, Game World (IN LG Store), Magic Zoom, 360 VR, Quick (1 Click) Access, LG Store, Music Player, Multi View, Magic Mobile ConnectionLG Smart Share: DLNA, Miracast TM, Intel WiDi, Network File Browser, Bluetooth wireless headphone connection and control (With LG Product Only)Time Machine : External HDD Recording Support (RF/Composite only), Watch & Record -(Other Items recordable when watching HDMI / Component & using Smart Functions) (RF(DTV/ATV) Composite(STB) (Excluding Copy Protection)), Scheduled RecordingSpecial Features : Motion Eco Senosor, Intelligent Sensor (White Sensor), Smart Energy Saving, e-Manual, OSD Language-Total 25, Indian : 11 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati) Subject to updation regularlyLocal Key Type: JoystickOther Features: Digital TV Reception-Yes (DVB-T2), Analog TV Reception, BackLight Module-Slim LED, Nano Cell Display, Display Type-Flat, Active HDR With Dolby VisionSubtitle for DivX (Language): 15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)",75SJ955T,-,0.3 W,-,-,-,-,LED,75 (190cm),-,Ultra HD 3840 x 2160,60W,"Dolby Digital Decoder, DTS Decoder",4.2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,True 4K Engine,"Yes, Terminal Side 3",-,-,LG,"6,08,990"
-,https://www.vijaysales.com/LG-OLED65B7T-65-164cm-Ultra-HD-Smart-OLED-TV/6022,"Yes, Terminal Side 2",OLED65B7T,-,"Terminal Rear: RF In x 1, Composite In (CVBS + Audio) x 1, Component In (Y.Pb,Pr +Audio) x 1(Composite/Component Common), Digital Audio Out (Optical) x 1, Headphone Out x 1(Phone Jack Type), LAN x 1, HDMI x 2, USB x 1",-,"LG Smart TV : WebOS, Launcher (Recent / Home / My Apps), WiFi Built In/Optional, WiFi Direct, Magic Remote Built In, Magic Remote Modes (4 Modes (Universal Control,Point,Wheel,Voice)), Direct Keys (Apps), Video Calling (TellyBean), Voice Recognition, Smart Phone Remote Controller (Remote App), Premium Content (India Specific Apps), Full Web Browser, Game World (In LG Store), Magic Zoom, 360 VR, Quick (1 click) Access, OLED Gallery, LG Store, Magic Mobile Connection, Music Player, Multi ViewLG SmartShare : DLNA, Miracast TM, Intel WiDi, Network File Browser, Bluetooth Wireless headphone connection & control(With LG Product Only)Time Machine: External HDD Recording Support (RF / Composite only), Watch & Record (Items recordable when watching RF DTV or using Smart Functions), Scheduled RecordingUSB Playback Format : Video (DivX HD) / Picture (JPEG, JPS, MPO) / External Device App Download / AC3 (Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, Subtitle for DivX (Language): 15 Language (English, French, Spanish, Protuguese, Italian, Vietnamese, Bulgarian, Russian, Maori, Ukrainian, Kazakh, Thai, Hebrew, Arab, Korean)Special Features : Motion Eco Sensor, Intelligent Sensor (White Sensor), Smart Energy Saving, e-Manual, OSD Language: Total 25, Indian : 11 (Hindi, Bengali, Telugu, Tamil, Malyalam, Assamese, Kannada, Urdu, Marathi ,Punjabi, Gujrati) Subject to updation regularlyActive HDR With Dolby Vision, Analog TV Reception, Digital TV Reception (Terrestrial DVB-T2), Infinite ContrastDisplay Type: Flat",OLED65B7T,-,0.3 W,-,-,-,-,OLED,65 (164cm),-,Ultra HD 3840 x 2160,40W,Dolby Digital Decoder & DTS Decoder,2.2 Ch Speaker,Yes,100~240Vac 50~60 Hz,No,-,No,-,True 4K Engine (OLED Master Engine),"Yes, Terminal Side 2",-,-,LG,"3,49,990"
-,https://www.vijaysales.com/VISE-VK32H701-32-81cm-HD-Ready-LED-TV/6033,2,VK32H701,-,"AV in x 1, AV out mini x 1, VGA in x 1, Earphone x 1",-,Special Soundbar DesignHigh Quality Sound,VK32H701,-,0.5W,-,-,-,-,LED,32 (81cm),VK,HD Ready & 1366 x 768 Pixels,10w x 2,-,Yes,No,AC 110-240V ~ 50/60Hz,No,-,No,-,-,2,-,55W,VISE,"14,490"
-,https://www.vijaysales.com/VISE-VK43U701-43-108cm-Ultra-HD-Smart-LED-TV/6041,2,VK43U701,Approx. 7.8 Kg,"Cable/Antenna Input x 1, PC In (D-sub) x 1, Headphone Output x 1, SPDIF out x 1, Ethernet (LAN) x 1",-,"Smart Features : Android 5.1 with Smart TV Style UI / Cortex A53 dual Core / Multi-core Mali 450PM2 / Built In WiFiRAM: 1 GB / ROM: 4 GBOther Features: Sleep Timer, 3D Comb Filter, 3D Dynamic Noise Reduction , 3D Adaptive Deinterlacing, Motion Compensation, Backlight Adjustable, Auto Power Off, Auto Volume Level, Music, Video, Photo, Browser, YouTubeOSD Language: English/Arabic/Persian/Russian/FrenchWall Mount: OptionalAccessory : Remote Control,Instruction Book, Battery, Stand etc.",VK43U701,60Hz,<0.5W,1,-,Approx. 967.6 mm x 614 mm x 204.8 mm,Approx. 967.6 mm x 560.6 mm x 87 mm,LED,43 (108cm),VK,Ultra HD & 3840 X 2160,16 Watts,Stereo System: NICAM /A25 Band Equize,-,"Yes, Android v5.1",110 ~ 240V,No,1,No,1,-,3,Approx. 7.55 Kg,<120W,VISE,"31,490"
-,https://www.vijaysales.com/VISE-VK49U701-49-124cm-Ultra-HD-Smart-LED-TV/6042,2,VK49U701,Approx. 10.3Kg,"Cable/Antenna Input x 1, PC In (D-sub) x 1, Headphone Output x 1, SPDIF out x 1, Ethernet (LAN) x 1",-,"Smart Features : Android 5.1 with Smart TV Style UI, Cortex A53 Dual Core, Multi-core Mali 450PM2, Built In WiFiRAM: 1 GB / ROM: 4 GBOther Features: Sleep Timer, 3D Comb Filter, 3D Dynamic Noise Reduction , 3D Adaptive Deinterlacing, Motion Compensation, Backlight Adjustable, Auto Power Off, Auto Volume Level, Browser, YouTube, Music, Video, PhotoOSD Language: English/Arabic/Persian/Russian/FrenchWall Mount: OptionalAccessory : Remote Control,Instruction Book, Battery, Stand etc.",VK49U701,60Hz,<0.5W,1,-,Approx. 1102.5 mm x 698.5 mm x 253.7 mm,Approx. 1102.5 mm x 637.2 mm x 90.2 mm,LED,49 (124cm),VK,Ultra HD & 3840 X 2160,16 Watts,Stereo System: NICAM /A25 Band Equize,-,"Yes, Android v5.1",110 ~ 240V,No,1,No,1,-,3,Approx. 9.9Kg,<160w,VISE,"37,990"
-,https://www.vijaysales.com/VISE-VK55U701-55-140cm-Ultra-HD-Smart-LED-TV/6043,2,VK55U701,Approx. 12.8kg,"Cable/Antenna Input x 1, PC In (D-sub) x 1, Headphone Output x 1, SPDIF out x 1, Ethernet (LAN) x 1",-,"Smart Features : Android 5.1 with Smart TV Style UI, Cortex A53 Dual Core, Multi-core Mali 450PM2, Built In WiFiRAM: 1 GB / ROM: 4 GBOther Features: Sleep Timer, 3D Comb Filter, 3D Dynamic Noise Reduction , 3D Adaptive Deinterlacing, Motion Compensation, Backlight Adjustable, Auto Power Off, Auto Volume Level, Browser, YouTube, Music, Video, PhotoOSD Language: English/Arabic/Persian/Russian/FrenchWall Mount: OptionalAccessory : Remote Control,Instruction Book, Battery, Stand etc.",VK55U701,60Hz,<0.5W,1,-,Approx. 1240 mm x 775 mm x 253.7 mm,Approx. 1240 mm x 715.9 mm x 90.2 mm,LED,55 (140cm),VK,Ultra HD & 3840 X 2160,16 Watts,Stereo System: NICAM /A25 Band Equize,-,"Yes, Android v5.1",110 ~ 240V,No,1,No,1,-,3,Approx. 12.4kg,<160w,VISE,"45,490"
